wave_vac,wave_err,wn,int,wave_vac_pre,ID,closest_dist,closest_R,wave_air
4657.486474,0.000145,21470.80846,6555,4657.488483,NoID,0.3693199999997887,12610.978214022161,4656.1828817417645
4659.683518,0.00015,21460.68496,9762,4659.682489,NoID,1.0796660000005431,4315.856494506315,4658.379344533318
4669.227936,0.000133,21416.81695,6489,4669.227685,NoID,0.25025300000015704,18658.029817812654,4667.921237425414
4670.974464,0.000131,21408.80897,9146,4670.972995,ThI,0.31113899999945716,15012.500727996648,4669.667303319194
4676.684475,0.000126,21382.66982,41431,4676.684677,ThI,0.2607799999996132,17933.447637882262,4675.375803450483
4682.806756,0.000151,21354.71422,4314,4682.807154,ArII,0.2801289999997607,16716.608262636142,4681.496464356395
4684.041023,0.000146,21349.08715,6272,4684.042832,ThI,0.4439390000006824,10551.091530576947,4682.730404724083
4687.883643,0.00014,21331.58747,3577,4687.883154,ThII,0.37740800000028685,12421.26198436821,4686.572007788775
4691.646846,0.000135,21314.47726,4430,4691.646969,ThII,0.2881700000007186,16280.830225173684,4690.334214816515
4693.197957,0.000134,21307.43278,9870,4693.197292,ThI,0.3859419999998863,12160.371136081025,4691.884915282637
4696.768425,0.000141,21291.23494,60046,4696.768236,ThI,0.4162960000003295,11282.280937112733,4695.454438249231
4698.126349,0.000153,21285.08102,9364,4698.126774,NoID,0.34278900000026624,13705.592504416276,4696.812002820536
4702.086566,0.000135,21267.15419,31806,4702.086497,ThI,0.614556999999877,7651.180551195318,4700.771171551627
4706.61261,0.000134,21246.70294,3601,4706.615190,ThII,0.2977449999998498,15807.528623494514,4705.296017436209
4708.362385,0.000131,21238.807,8634,4708.362053,NoID,0.5400999999992564,8717.575236079398,4707.045329222512
4710.377137,0.00013,21229.72261,5043,?,,0.30881699999918055,15252.972268406531,4709.059547847908
4715.109664,0.000184,21208.41446,4195,4715.110256,ThI,0.3284480000002077,14355.726519866213,4713.790821924566
4715.438112,0.000128,21206.93722,3796,4715.436626,NoID,0.3284480000002077,14356.726519866213,4714.1191829657755
4716.749637,0.000124,21201.04048,12926,4716.750145,ThII,0.4311200000001918,10940.688525231726,4715.430360726815
4721.013117,0.000151,21181.89412,10190,4721.013702,ThI,0.22884799999974348,20629.470727318097,4719.692711884986
4721.778231,0.000146,21178.46182,53905,4721.779262,NoID,0.29612600000018574,15945.166013781425,4720.457623298574
4722.101326,0.000148,21177.01275,20346,4722.101828,ThI,0.32309499999973923,14615.21015801486,4720.780632749029
4727.65888,0.00015,21152.11832,4971,4727.658191,ThII,0.39174999999977445,12068.050746656598,4726.336715151674
4729.456431,0.000146,21144.07891,32724,4729.455674,ThI,0.2847859999992579,16607.053826425188,4728.133790149654
4729.916327,0.000117,21142.02305,4914,4729.916919,ThI,0.3928670000004786,12039.484932545207,4728.593564364589
4732.204539,0.000156,21131.80003,10988,4732.204926,ThII,0.31454499999927066,15044.602645125413,4730.881170411578
4732.519084,0.000159,21130.39551,4527,4732.518996,NoID,0.31454499999927066,15045.602645125413,4731.195632113818
4740.165986,0.000139,21096.30766,3462,4740.165955,ThI,0.27202200000010635,17425.671401571002,4738.84050895069
4740.438008,0.000135,21095.09708,8746,4740.437870,NoID,0.24245799999971496,19551.58422491967,4739.112458905947
4741.657445,0.000136,21089.67195,3264,4741.656511,NoID,0.23166200000014214,20467.99839851633,4740.331572936014
4743.892983,0.000132,21079.73353,21722,4743.893576,NoID,0.44913699999960954,10562.24043666882,4742.566518835934
4756.72401,0.000169,21022.872,3276,?,,0.44664600000032806,10649.874867336786,4755.394147084674
4760.522924,0.000157,21006.09567,3691,?,,0.3929980000002615,12113.351528498444,4759.19205469366
4763.192638,0.00015,20994.322,3902,4763.192956,ThII,0.3692089999995005,12901.07402042324,4761.861061414079
4767.637113,0.000156,20974.75073,4500,4767.637415,NoID,0.29678899999998976,16064.062728066621,4766.304358895433
4774.130713,0.000141,20946.22163,3855,?,,0.3088610000004337,15457.214452434253,4772.796238354737
4777.656547,0.000137,20930.76365,6678,4777.656810,ThI,0.45829200000025594,10424.918058786388,4776.321138088686
4778.114839,0.000136,20928.75608,9107,4778.114767,NoID,0.4125340000000506,11582.35403384791,4776.779308648451
4779.974108,0.000136,20920.61541,4270,4779.974271,ThI,0.9517989999994825,5022.041531880785,4778.638084963496
4784.09831,0.000131,20902.58049,34832,4784.098354,ThII,0.3909400000002279,12237.423415350722,4782.761194053511
4786.609736,0.00013,20891.61338,4622,4786.614955,NoID,0.34104200000001583,14035.250016126396,4785.271954498281
4791.77673,0.000125,20869.08586,9202,4791.776514,ThII,0.3618319999995947,13243.09826108627,4790.437579118595
4793.934612,0.000169,20859.69211,10074,?,,0.3103849999997692,15445.123353266314,4792.594889199297
4794.584775,0.000163,20856.86346,65228,4794.584536,ThI,0.33977800000047864,14110.933535994815,4793.244879878618
4802.393556,0.000163,20822.94981,6255,4802.393674,ThI,0.2967099999996208,16185.479276081487,4801.051591105775
4804.013602,0.000164,20815.92774,9633,4804.013773,ThI,0.6069649999999456,7914.811565741733,4802.671207674369
4805.298398,0.000168,20810.36217,8494,4805.298691,ThII,1.2847959999999148,3740.125590366345,4803.955663102374
4807.805742,0.000182,20799.50925,4964,4807.806817,ThI,0.6199730000007548,7754.863102093391,4806.46234244244
4813.721079,0.000138,20773.94979,62227,4813.720521,ThI,0.2598939999998038,18521.863063416757,4812.376111287215
4818.366917,0.000134,20753.91968,33520,4818.366774,ThI,0.42321499999980006,11385.151558905702,4817.0207175910455
4819.178833,0.000137,20750.42315,3398,4819.179169,ThII,0.2372219999997469,20315.05860757072,4817.832418329689
4819.994502,0.000133,20746.91163,20211,4819.994393,ThII,0.23343600000043807,20648.03415921689,4818.647871071017
4821.270046,0.000134,20741.42271,4131,4821.269187,NoID,0.348400999999285,13838.278437805558,4819.923076880893
4825.997433,0.000129,20721.1051,6061,4825.996617,ThII,0.2312099999999191,20872.78851693996,4824.6492104408735
4827.715278,0.000128,20713.73191,6316,4827.716748,NoID,0.26424600000063947,18269.77618578263,4826.366599944935
4833.774555,0.000139,20687.76664,8928,4833.773584,ThI,0.2624230000001262,18419.782393302703,4832.424270213999
4838.047383,0.000133,20669.49579,25193,?,,0.41044500000043627,11787.322011462822,4836.69596511813
4841.827662,0.00013,20653.35798,55281,4841.826861,NoID,0.36759600000004866,13171.600512517434,4840.475241587742
4854.963914,0.000138,20597.47544,4381,4854.964631,NoID,0.4757129999998142,10205.65743211116,4853.60800947604
4858.895683,0.000134,20580.80818,20845,4858.895465,NoID,0.4091290000005756,11876.194752738535,4857.538735544789
4863.791189,0.000132,20560.09317,3838,4863.788177,ThI,0.5051949999997305,9627.552111566018,4862.4329429026275
4869.633512,0.000169,20535.42628,4962,4869.634005,ThII,0.25338599999940925,19218.242176013486,4868.273715991354
4873.040594,0.000157,20521.06853,3826,4873.040483,NoID,0.3513649999995323,13868.884476275345,4871.679894073288
4877.857315,0.000142,20500.80467,53292,4877.856902,ThI,0.35974699999951554,13559.132709950518,4876.495337104325
4879.769962,0.000152,20492.76929,10138,?,,0.28603300000031595,17060.16425375607,4878.40747662089
4882.960827,0.000154,20479.37789,9410,4882.959418,ThI,0.25654300000041985,19033.69348215312,4881.597494960442
4889.627088,0.000148,20451.45738,13441,4889.625529,ArII,0.31387400000039634,15578.311959556466,4888.261987034211
4890.855741,0.00014,20446.31968,60383,4890.855761,ThI,0.3674769999997807,13309.283957915513,4889.490313988964
4891.223218,0.000141,20444.78355,6381,4891.220838,ThII,0.3674769999997807,13310.283957915513,4889.857693471347
4892.403554,0.00014,20439.85107,10729,4892.403761,NoID,0.2828350000008868,17297.730316207897,4891.037716241806
4893.026232,0.000139,20437.24993,12953,4893.026597,ThI,0.29310199999963515,16693.936691002076,4891.6602289979155
4893.648166,0.00014,20434.65256,3444,4893.645545,ThI,0.24054100000012113,20344.341155967322,4892.2819979501965
4894.811705,0.000137,20429.79506,52781,4894.811792,ThI,0.2603209999997489,18802.984411571568,4893.445228168926
4898.955905,0.000136,20412.51278,3586,4898.955347,NoID,0.33833899999990535,14479.430112997232,4897.58832834061
4908.578829,0.000176,20372.49548,27351,4908.579498,NoID,0.8041569999995772,6104.005597168936,4907.208698299348
4909.382986,0.000176,20369.15846,3598,4909.383604,ThI,0.8041569999995772,6105.005597168936,4908.012641852683
4912.511588,0.000164,20356.18608,6328,4912.506998,ThII,0.23815599999943515,20627.28458662243,4911.140413410797
4914.851154,0.000124,20346.49613,4419,4914.850751,NoID,0.6416829999998299,7659.313327610834,4913.479358386385
4916.788873,0.000153,20338.47753,11693,4916.787840,ThI,0.40470299999924464,12149.128800649309,4915.416563016604
4917.193576,0.000154,20336.8036,4566,4917.190214,ThI,0.3035470000004352,16199.117685211679,4915.821158586192
4927.62975,0.000145,20293.7325,6029,4927.628147,ThI,0.23713899999984278,20779.499576211703,4926.2545620706305
4928.675162,0.000143,20289.42803,34934,4928.674247,ThI,0.2850300000000061,17291.776872609527,4927.299696523446
4942.287333,0.000133,20233.54638,7129,4942.285839,ThI,0.5075710000000981,9737.13496830797,4940.908253300908
4942.794904,0.000132,20231.46862,19035,4942.795251,ThI,0.5075710000000981,9738.13496830797,4941.415689522317
4950.346095,0.000128,20200.60781,4140,4950.346760,ThI,0.26921300000049087,18388.213403479676,4948.964875310023
4951.632889,0.000124,20195.35823,35926,4951.632871,ThI,0.2934910000003583,16871.498236722608,4950.251327585078
4952.008015,0.000167,20193.82838,58166,4952.008035,ThII,0.37512599999990925,13200.919197819394,4950.626353964492
4954.072472,0.000167,20185.41323,24887,4954.073067,ThI,0.8420510000005379,5883.340168228332,4952.6902627076915
4955.313376,0.000169,20180.35842,5342,4955.313184,ThI,0.27931400000034046,17741.013253879002,4953.930837155013
4958.023823,0.000121,20169.32624,7376,4958.022702,ThI,0.34813299999950686,14241.751925290115,4956.640564312157
4959.480998,0.000171,20163.40017,23612,4959.482417,ThI,0.5011569999996937,9896.062507364022,4958.097352304862
4960.73342,0.000178,20158.30958,4348,4960.731174,ThI,0.5335769999992408,9297.127537369597,4959.349441672081
4962.767315,0.000188,20150.04808,7386,4962.765906,ThI,0.3438800000003539,14431.68347968737,4961.382796476197
4963.111195,0.000187,20148.65194,56709,4963.110638,ThI,0.335983999999371,14771.86769313209,4961.726585141515
4963.447179,0.000241,20147.28804,8894,4963.446771,ThI,0.335983999999371,14772.86769313209,4962.062479903657
4964.573469,0.000147,20142.71732,18591,4964.573104,ThII,0.48420900000019174,10252.955787682662,4963.188470756771
4969.040795,0.000145,20124.60838,5882,4969.039085,ThI,0.3214029999999184,15460.467995013307,4967.654610179215
4976.480167,0.000139,20094.52397,6820,4976.479838,ThI,0.43197200000031444,11520.376707278198,4975.092006051799
4987.33883,0.000129,20050.77325,20889,4987.339713,ThI,0.3878020000001925,12860.528903918814,4985.947784348427
4988.949934,0.000187,20044.29816,23656,4988.949726,NoID,0.41185500000028696,12113.364980385146,4987.558460313036
4992.599066,0.000298,20029.64762,5078,4992.596279,ThI,0.46859799999947427,10654.332852478246,4991.2066227884425
